연번,행정동,설치 위치,설치 장소 유형,쓰레기통 형태,수거 쓰레기 종류,통 제작연월,최초설치
203,여의도동,의사당대로97-2,지하철 입구,일반 사각 쓰레기통,일반쓰레기,2024-12,2024-00
204,여의도동,의사당대로97-2,지하철 입구,일반 사각 쓰레기통,재활용쓰레기,2024-12,2024-00
205,여의도동,여의나루로 42,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-12,2024-00
206,여의도동,여의나루로 42,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-12,2024-00
207,여의도동,여의도동 2-11,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-12,2024-00
208,여의도동,여의도동 2-11,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-12,2024-00
209,여의도동,여의도동 8,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-12,2024-00
210,여의도동,여의도동 8,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-12,2024-00
211,신길7동,신길동 산 168,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-12,2024-00
212,신길7동,신길동 산 168,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-12,2024-00
213,대림1동,대림로 146,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-12,2024-00
214,대림1동,대림로 146,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-12,2024-00
215,대림2동,대림로21길 6,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-12,2024-00
216,대림2동,대림로21길 6,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-12,2024-00
217,신길3동,신길로 155,도로변,일반 사각 쓰레기통,일반쓰레기,2024-12,2024-00
218,신길3동,신길로 155,도로변,일반 사각 쓰레기통,재활용쓰레기,2024-12,2024-00
219,신길4동,가마산로 496,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-12,2024-00
220,신길4동,가마산로 496,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-12,2024-00
221,신길6동,신길로 28,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-12,2024-00
222,신길6동,신길로 28,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-12,2024-00
