연번,자치구명,도로(가로)명,세부 위치,설치 장소 유형,수거 쓰레기 종류,형태,설치연도,수거 담당자,데이터기준일
107,강북구,도봉로,도봉로 343 중앙버스정류소 수유(강북구청)역(09-013),정류소(버스 중앙차로),일반쓰레기,서울형,2025년 설치,환경공무관,2025-08-02
108,강북구,도봉로,도봉로 348 교보빌딩 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각,2016년 설치,환경공무관,2025-08-02
109,강북구,도봉로,도봉로 348 교보빌딩 앞,도로변(횡단보도 포함),재활용쓰레기,일반 사각,2016년 설치,환경공무관,2025-08-02
110,강북구,한천로,한천로 1098 광산사거리 버스정류장(09-129),정류소(버스 가로변),일반쓰레기,일반 사각,2016년 설치,환경공무관,2025-08-02
111,강북구,한천로,한천로 1098 광산사거리 버스정류장(09-129),정류소(버스 가로변),재활용쓰레기,일반 사각,2016년 설치,환경공무관,2025-08-02
112,강북구,한천로,한천로 1152 강북청년창업마루 버스정류장(09-124),정류소(버스 가로변),일반쓰레기,일반 사각,2016년 설치,환경공무관,2025-08-02
113,강북구,한천로,한천로 1152 강북청년창업마루 버스정류장(09-124),정류소(버스 가로변),재활용쓰레기,일반 사각,2016년 설치,환경공무관,2025-08-02
114,강북구,삼각산로,삼각산로 165 버스정류장(09-811),정류소(버스 가로변),일반쓰레기,일반 사각,2016년 설치,환경공무관,2025-08-02
115,강북구,삼각산로,삼각산로 165 버스정류장(09-811),정류소(버스 가로변),재활용쓰레기,일반 사각,2016년 설치,환경공무관,2025-08-02
116,강북구,인수봉로,인수봉로 276 횡단보도,도로변(횡단보도 포함),일반쓰레기,일반 사각,2016년 설치,환경공무관,2025-08-02
117,강북구,인수봉로,인수봉로 207 우이초교 후문 버스정류장(09-130),정류소(버스 가로변),일반쓰레기,일반 사각,2016년 설치,환경공무관,2025-08-02
118,강북구,인수봉로,인수봉로 309 버스정류장(09-112),정류소(버스 가로변),일반쓰레기,일반 사각,2017년 설치,환경공무관,2025-08-02
119,강북구,인수봉로,인수봉로 310 윤극영가옥 버스정류장(09-113),정류소(버스 가로변),일반쓰레기,일반 사각,2017년 설치,환경공무관,2025-08-02
120,강북구,도봉로,도봉로 343 중앙버스정류소 수유(강북구청)역(09-013),정류소(버스 중앙차로),재활용쓰레기,서울형,2025년 설치,환경공무관,2025-08-02
121,강북구,한천로,한천로 983 수송초등학교 버스정류장(09-209),정류소(버스 가로변),일반쓰레기,일반 사각,2017년 설치,환경공무관,2025-08-02
122,강북구,노해로,노해로 57 수유중앙시장 옆 버스정류장(09-313),정류소(버스 가로변),일반쓰레기,일반 사각,2017년 설치,환경공무관,2025-08-02
123,강북구,노해로,노해로 57 수유중앙시장 옆 버스정류장(09-313),정류소(버스 가로변),재활용쓰레기,일반 사각,2017년 설치,환경공무관,2025-08-02
124,강북구,덕릉로,덕릉로41길 12 북부시장입구 버스정류장(09-150),정류소(버스 가로변),일반쓰레기,일반 사각,2017년 설치,환경공무관,2025-08-02
125,강북구,덕릉로,덕릉로 32-1 화계역 2번출구 앞,지하철역 입구,일반쓰레기,일반 사각,2017년 설치,환경공무관,2025-08-02
126,강북구,삼양로,삼양로 678 북한산우이역 1번출구 앞,지하철역 입구,일반쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
127,강북구,인수봉로,인수봉로 269 인수초등학교 앞 버스정류장(09-116),정류소(버스 가로변),일반쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
128,강북구,인수봉로,인수봉로 269 인수초등학교 앞 버스정류장(09-116),정류소(버스 가로변),일반쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
129,강북구,도봉로,도봉로 328 수유역 4번 출구 앞,지하철역 입구,일반쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
130,강북구,도봉로,도봉로 328 수유역 4번 출구 앞,지하철역 입구,재활용쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
131,강북구,한천로,한천로 939 한성운수종점 버스정류장(09-290),정류소(버스 가로변),일반쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
132,강북구,오현로,오현로 207 402동 앞 번동주공아파트4단지 앞 버스정류장(09-180),정류소(버스 가로변),일반쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
133,강북구,오현로,오현로 207 402동 앞 번동주공아파트4단지 앞 버스정류장(09-180),정류소(버스 가로변),재활용쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
134,강북구,오현로,오현로 207 번동4단지 맞은편 초안교 앞 버스정류장(09-181),정류소(버스 가로변),일반쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
135,강북구,오현로,오현로 207 번동4단지 맞은편 초안교 앞 버스정류장(09-181),정류소(버스 가로변),재활용쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
136,강북구,월계로,월계로 173 북서울꿈의숲 버스정류장(09-271),정류소(버스 가로변),일반쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
137,강북구,월계로,월계로 173 북서울꿈의숲 버스정류장(09-271),정류소(버스 가로변),재활용쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
138,강북구,오현로,오현로 117 오동골프공원 북서울꿈의숲 버스정류장(09-239),정류소(버스 가로변),일반쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
139,강북구,월계로,월계로 173(번동 산 28-6)북서울꿈의숲 동문 버스정류장(09-187),정류소(버스 가로변),일반쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
140,강북구,한천로,한천로105길 24 번동주공아파트1단지 버스정류장(09-185),정류소(버스 가로변),일반쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
141,강북구,한천로,한천로105길 24 번동주공아파트1단지 버스정류장(09-185),정류소(버스 가로변),재활용쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
142,강북구,한천로,한천로 833 건너편번동주공아파트3단지 앞 버스정류장(09-183),정류소(버스 가로변),일반쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
143,강북구,한천로,한천로 833 건너편번동주공아파트3단지 앞 버스정류장(09-183),정류소(버스 가로변),재활용쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
144,강북구,오현로,오현로 9 송중초 앞 버스정류장(09-245),정류소(버스 가로변),재활용쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
145,강북구,도봉로,도봉로 341 수유역 7번 출구 앞,지하철역 입구,일반쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
146,강북구,삼각산로,삼각산로 16(인수동 환경미화원 후생관) 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
147,강북구,삼각산로,삼각산로 16(인수동 환경미화원 후생관) 앞,도로변(횡단보도 포함),재활용쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
