연번,도로명주소,유형,자료기준일자
147,서울특별시 강북구 삼각산로 16(인수동 환경미화원 후생관) 앞,재활용쓰레기,2025-08-20
148,서울특별시 강북구 도봉로89길 13 강북구청 앞,일반쓰레기,2025-08-20
149,서울특별시 강북구 삼양로 247 롯데마트 삼양점 버스정류장(09-160),일반쓰레기,2025-08-20
150,서울특별시 강북구 삼양로 247 롯데마트 삼양점 버스정류장(09-160),재활용쓰레기,2025-08-20
151,서울특별시 강북구 삼양로 371 우이초교 버스정류장(09-134),일반쓰레기,2025-08-20
152,서울특별시 강북구 인수봉로 39 솔샘중고등학교 버스정류장(09-847),일반쓰레기,2025-08-20
153,서울특별시 강북구 인수봉로 39 솔샘중고등학교 버스정류장(09-847),재활용쓰레기,2025-08-20
154,"서울특별시 강북구 인수봉로8길 35-4 솔샘중고등학교, 팔팔미송경로당 버스정류장(09-217)",일반쓰레기,2025-08-20
155,"서울특별시 강북구 인수봉로8길 35-4 솔샘중고등학교, 팔팔미송경로당 버스정류장(09-217)",재활용쓰레기,2025-08-20
156,"서울특별시 강북구 인수봉로 39 솔샘중고등학교, 팔팔미송경로당 버스정류장(09-218)",일반쓰레기,2025-08-20
157,"서울특별시 강북구 인수봉로 39 솔샘중고등학교, 팔팔미송경로당 버스정류장(09-218)",재활용쓰레기,2025-08-20
158,서울특별시 강북구 도봉로 71 송천우체국 앞,일반쓰레기,2025-08-20
159,서울특별시 강북구 도봉로 71 송천우체국 앞,재활용쓰레기,2025-08-20
160,서울특별시 강북구 오현로 204 번동초등학교 앞 횡단보도,일반쓰레기,2025-08-20
161,서울특별시 강북구 오현로 204 번동초등학교 앞 횡단보도,재활용쓰레기,2025-08-20
162,서울특별시 강북구 오현로 207 벌말어린이공원 앞 버스정류장(09-228),일반쓰레기,2025-08-20
163,서울특별시 강북구 오현로 207 벌말어린이공원 앞 버스정류장(09-228),재활용쓰레기,2025-08-20
164,서울특별시 강북구 오현로 156 해모로아파트 상가 앞 버스정류장(09-233),일반쓰레기,2025-08-20
165,서울특별시 강북구 오현로 156 해모로아파트 상가 앞 버스정류장(09-233),재활용쓰레기,2025-08-20
166,서울특별시 강북구 월계로 83 cu미아창문점 앞버스정류장(09-188) ,일반쓰레기,2025-08-20
167,서울특별시 강북구 월계로 83 cu미아창문점 앞버스정류장(09-188) ,재활용쓰레기,2025-08-20
168,서울특별시 강북구 덕릉로 79 신일병원 버스정류장(09-144),일반쓰레기,2025-08-20
169,서울특별시 강북구 4.19로 88-1 백련사 앞 버스정류장(09-875),일반쓰레기,2025-08-20
170,서울특별시 강북구 삼각산로 16(인수동 환경미화원 후생관) 앞,일반쓰레기,2025-08-20
171,서울특별시 강북구 인수봉로 239 국립재활원 버스정류장(09-583),일반쓰레기,2025-08-20
172,서울특별시 강북구 인수봉로 239 국립재활원 버스정류장(09-583),재활용쓰레기,2025-08-20
173,서울특별시 강북구 인수봉로14길 4 미송경로당 버스정류장(09-501),일반쓰레기,2025-08-20
174,서울특별시 강북구 인수봉로14길 4 미송경로당 버스정류장(09-501),재활용쓰레기,2025-08-20
175,서울특별시 강북구 삼각산로 16 도로변,일반쓰레기,2025-08-20
176,서울특별시 강북구 삼각산로 16 도로변,재활용쓰레기,2025-08-20
177,서울특별시 강북구 삼양로 685 투썸플레이스 북한산우이역점 앞,일반쓰레기,2025-08-20
178,서울특별시 강북구 도봉로 55 중앙버스정류소 미아사거리역(09-011),일반쓰레기,2025-08-20
179,서울특별시 강북구 도봉로 55 중앙버스정류소 미아사거리역(09-011),재활용쓰레기,2025-08-20
180,서울특별시 강북구 도봉로 117 중앙버스정류소 도봉세무서 (09-009),일반쓰레기,2025-08-20
181,서울특별시 강북구 도봉로 117 중앙버스정류소 도봉세무서(09-009),재활용쓰레기,2025-08-20
182,서울특별시 강북구 도봉로 172 중앙버스정류소 미아역(09-008),일반쓰레기,2025-08-20
183,서울특별시 강북구 도봉로 172 중앙버스정류소 미아역(09-008),재활용쓰레기,2025-08-20
184,서울특별시 강북구 도봉로 181 중앙버스정류소 미아역(09-007),일반쓰레기,2025-08-20
185,서울특별시 강북구 도봉로 181 중앙버스정류소 미아역(09-007),재활용쓰레기,2025-08-20
186,서울특별시 강북구 도봉로 181 중앙버스정류소 미아역(09-007),일반쓰레기,2025-08-20
187,서울특별시 강북구 도봉로 181 중앙버스정류소 미아역(09-007),재활용쓰레기,2025-08-20
188,서울특별시 강북구 도봉로 242 중앙버스정류소 수유시장(09-006),일반쓰레기,2025-08-20
189,서울특별시 강북구 도봉로 242 중앙버스정류소 수유시장(09-006),재활용쓰레기,2025-08-20
190,서울특별시 강북구 도봉로 242 중앙버스정류소 수유시장(09-006),일반쓰레기,2025-08-20
191,서울특별시 강북구 도봉로 242 중앙버스정류소 수유시장(09-006),재활용쓰레기,2025-08-20
192,서울특별시 강북구 도봉로 255 중앙버스정류소 수유시장(09-005),일반쓰레기,2025-08-20
193,서울특별시 강북구 도봉로 255 중앙버스정류소 수유시장(09-005),재활용쓰레기,2025-08-20
194,서울특별시 강북구 도봉로 255 중앙버스정류소 수유시장(09-005),일반쓰레기,2025-08-20
195,서울특별시 강북구 도봉로 255 중앙버스정류소 수유시장(09-005),재활용쓰레기,2025-08-20
196,서울특별시 강북구 도봉로 317 중앙버스정류소 수유역(09-003),일반쓰레기,2025-08-20
197,서울특별시 강북구 도봉로 317 중앙버스정류소 수유역(09-003),재활용쓰레기,2025-08-20
198,서울특별시 강북구 덕릉로 186 도로변,일반쓰레기,2025-08-20
199,서울특별시 강북구 도봉로 384 중앙버스정류소 수유3동우체국(09-002),일반쓰레기,2025-08-20
200,서울특별시 강북구 도봉로 384 중앙버스정류소 수유3동우체국(09-002),재활용쓰레기,2025-08-20
201,서울특별시 강북구 도봉로 387 중앙버스정류소 수유3동우체국(09-001),일반쓰레기,2025-08-20
202,서울특별시 강북구 도봉로 387 중앙버스정류소 수유3동우체국(09-001),재활용쓰레기,2025-08-20
203,서울특별시 강북구 도봉로 334 중앙버스정류소 수유역(09-004),일반쓰레기,2025-08-20
204,서울특별시 강북구 도봉로 334 중앙버스정류소 수유역(09-004),재활용쓰레기,2025-08-20
205,서울특별시 강북구 도봉로 40 중앙버스정류소 미아사거리역(09-012),일반쓰레기,2025-08-20
206,서울특별시 강북구 도봉로 40 중앙버스정류소 미아사거리역(09-012),재활용쓰레기,2025-08-20
207,서울특별시 강북구 도봉로 317 도로변,일반쓰레기,2025-08-20
208,서울특별시 강북구 도봉로 329 수유역 6번 출구 앞,일반쓰레기,2025-08-20
209,서울특별시 강북구 삼양로 421 남양당한의원 앞,일반쓰레기,2025-08-20
210,서울특별시 강북구 삼양로 421 남양당한의원 앞,재활용쓰레기,2025-08-20
211,서울특별시 강북구 오현로 156 번동해모로아파트 버스정류장(09-233),일반쓰레기,2025-08-20
212,서울특별시 강북구 오현로 156 번동해모로아파트 버스정류장(09-233),재활용쓰레기,2025-08-20
213,서울특별시 강북구 삼각산로 421 가오리역 2번 출구 앞,일반쓰레기,2025-08-20
214,서울특별시 강북구 도봉로 399 CGV 앞,일반쓰레기,2025-08-20
215,서울특별시 강북구 솔샘로 195 솔샘역 2번출구 앞,일반쓰레기,2025-08-20
216,서울특별시 강북구 솔샘로 195 솔샘역 2번출구 앞,재활용쓰레기,2025-08-20
217,서울특별시 강북구 월계로 53 창문여고앞 버스정류장(09-994),일반쓰레기,2025-08-20
218,서울특별시 강북구 삼양로 651 GS편의점 앞,일반쓰레기,2025-08-20
