연번,자치구명,설치위치(도로명주소),설치위치(지번주소),행정(동),세부 위치,설치 장소 유형,쓰레기통 형태,수거 쓰레기 종류,위도,경도,설치연도
100,광진구,구의강변로 84,구의동 658,구의3동,세영아파트 앞 횡단보도,도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기,37.53725001801526,127.09334248820599,2024
101,광진구,구의강변로102,구의동 199-23,구의3동,현대아파트앞(05-157),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.53951984373571,127.09421656682254,2017
102,광진구,구의강변로102,구의동 199-23,구의3동,현대아파트앞(05-157),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.53951984373571,127.09421656682254,2024
103,광진구,자양로 57,자양동 862,자양2동,자양동잠실대교북단(05-188),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.533046535770204,127.08480087651971,2017
104,광진구,자양로 57,자양동 862,자양2동,자양동잠실대교북단(05-188),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.533046535770204,127.08480087651971,2024
105,광진구,자양로 102-1,구의동 246-18,구의1동,자양사거리 횡단보도(순대실록 앞),도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기,37.53673236387209,127.08376977306663,2019
106,광진구,자양로 102-1,구의동 246-18,구의1동,자양사거리 횡단보도(순대실록 앞),도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기,37.53673236387209,127.08376977306663,2019
107,광진구,자양로 164,구의동 250-19,구의1동,광진경찰서(05-599),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.542399263712966,127.08431642155084,2019
108,광진구,자양로 164,구의동 250-19,구의1동,광진경찰서(05-599),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.542399263712966,127.08431642155084,2019
109,광진구,자양번영로 34,자양동 608-21,자양2동,이디야커피 앞,도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기,37.532708155279316,127.07559381043572,2022
110,광진구,자양번영로 34,자양동 608-21,자양2동,이디야커피 앞,도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기,37.532708155279316,127.07559381043572,2024
111,광진구,뚝섬로 571,자양동579,자양3동,자양우성아파트앞(05-211),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.53471934397786,127.0760540655422,2021
112,광진구,뚝섬로 571,자양동579,자양3동,자양우성아파트앞(05-211),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.53471934397786,127.0760540655422,2024
113,광진구,뚝섬로 607,자양동 615-3,자양1동,자양미소약국.자양골목시장(05-190),도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기,37.532797182723776,127.07725138808073,2022
114,광진구,뚝섬로 607,자양동 615-3,자양1동,자양미소약국.자양골목시장(05-190),도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기,37.532797182723776,127.07725138808073,2024
115,광진구,뚝섬로 623,자양동 616-24,자양1동,은수네헤어 앞,도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기,37.532280184770556,127.07902712639978,2021
116,광진구,뚝섬로 623,자양동 616-24,자양1동,은수네헤어 앞,도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기,37.532280184770556,127.07902712639978,2021
117,광진구,뚝섬로 642,자양동 636-5,자양2동,국민은행자양지점앞(05-191),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.53156490517049,127.08085353803827,2021
118,광진구,뚝섬로 642,자양동 636-5,자양2동,국민은행자양지점앞(05-191),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.53156490517049,127.08085353803827,2024
119,광진구,동일로 132,화양동 42-1,화양동,화양동현대아파트앞(05-561),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.544039920413276,127.06520337722627,2023
120,광진구,동일로 132,화양동 42-1,화양동,화양동현대아파트앞(05-561),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.544039920413276,127.06520337722627,2024
121,광진구,동일로 242,군자동125-54,군자동,인정순복음교회앞,도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기,37.553094222518304,127.07040292831043,2023
122,광진구,동일로 242,군자동125-54,군자동,인정순복음교회앞,도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기,37.553094222518304,127.07040292831043,2024
123,광진구,동일로 374,중곡동 249-1,중곡1동,동곡삼거리(동부자동차공업사 앞),도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기,37.56404195241125,127.07664696692336,2023
124,광진구,동일로 374,중곡동 249-1,중곡1동,동곡삼거리(동부자동차공업사 앞),도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기,37.56404195241125,127.07664696692336,2024
