연번,자치구명,도로(가로)명,세부 위치,설치 장소 유형,수거 쓰레기 종류,형태,설치연도,데이터기준일자
56,동작구청,장승배기로,78,가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
57,동작구청,상도로,147,가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
58,동작구청,상도로,181,가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
59,동작구청,상도로,동작보건소(ID:20-153),버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
60,동작구청,양녕로,경향렉스빌(ID:20-222),마을버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
61,동작구청,상도로,83(신한은행 앞),가로변,재활용, 항아리형 쓰레기통,2018년 이전,2024-07-29
62,동작구청,상도로,94(주작나무 한의원 앞),가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
63,동작구청,상도로,94(주작나무 한의원 앞),가로변,재활용, 항아리형 쓰레기통,2018년 이전,2024-07-29
64,동작구청,보라매로,104(왕세숫대야냉면),가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
65,동작구청,보라매로,93(통삼겹구이 앞),가로변,재활용,항아리형 쓰레기통,2018년 이전,2024-07-29
66,동작구청,보라매로,101(삼거리 왕만두),가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
67,동작구청,상도로,서울공업고등학교(ID:20-144),버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2019년 설치,2024-07-29
68,동작구청,상도로,서울공업고등학교(ID:20-144),버스 정류장 옆,재활용,일반 사각 쓰레기통,2019년 설치,2024-07-29
69,동작구청,상도로,16,가로변,재활용,일반 사각 쓰레기통,2019년 설치,2024-07-29
70,동작구청,상도로,16,가로변,일반쓰레기,일반 사각 쓰레기통,2019년 설치,2024-07-29
71,동작구청,여의대방로, 강남중학교(ID: 20-006),버스 중앙차로,일반쓰레기,일반 사각 쓰레기통,2020년 설치,2024-07-29
72,동작구청,여의대방로, 강남중학교(ID: 20-006),버스 중앙차로,재활용,일반 사각 쓰레기통,2020년 설치,2024-07-29
73,동작구청,여의대방로,22 우성아파트(ID:20-927),마을버스 정류장 옆,재활용,일반 사각 쓰레기통,2020년 설치,2024-07-29
74,동작구청,여의대방로,22 우성아파트(ID:20-927),마을버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2020년 설치,2024-07-29
75,동작구청,여의대방로,교수아파트(ID:20-928),버스정류장 옆,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
76,동작구청,여의대방로,교수아파트(ID:20-928),버스정류장 옆,재활용,일반 사각 쓰레기통,2020년 설지,2024-07-29
77,동작구청,신대방2길,2-5(ID:20-207),마을버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2020년 설치,2024-07-29
78,동작구청,신대방2길,2-5(ID:20-207),마을버스 정류장 옆,재활용,일반 사각 쓰레기통,2020년 설치,2024-07-29
79,동작구청,알마타길,6(ID:20-107),가로변,재활용,일반 사각 쓰레기통,2019년 설치,2024-07-29
80,동작구청,알마타길,6(ID:20-107),가로변,일반쓰레기,일반 사각 쓰레기통,2019년 설치,2024-07-29
81,동작구청,여의대방로,동작상떼빌아파트(ID:20-001),버스 중앙차로,일반쓰레기,기타(원형),2018년 이전,2024-07-29
82,동작구청,등용로,123(대방할인마트 앞),가로변,일반쓰레기,일반 사각 쓰레기통,2020년 설치,2024-07-29
83,동작구청,등용로,123(대방할인마트 앞),가로변,재활용,일반 사각 쓰레기통,2020년 설치,2024-07-29
84,동작구청,노량진로 ,현대아파트(ID:20-007),버스중앙차로,일반쓰레기,기타(원형),2018년 이전,2024-07-29
85,동작구청,노량진로 ,현대아파트유한양행(ID:20-008),버스중앙차로,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
86,동작구청,등용로,40(ID:20-593),마을버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2020년 설치,2024-07-29
87,동작구청,서달로,15길 8-12(흑석역4번출구),지하철 9호선 옆,재활용,일반 사각 쓰레기통,2018년 이전,2024-07-29
88,동작구청,서달로,15길 8-12(흑석역4번출구),지하철 9호선 옆,일반쓰레기,일반 사각 쓰레기통,2020년 설치,2024-07-29
89,동작구청,현충로,124(조선일보뉴지엄),가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
90,동작구청,현충로2길,흑석동 효사정 앞(ID:20-123),버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
91,동작구청,현충로,108,가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
92,동작구청,현충로2길,동작실버센터입구(ID:20-251),버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
93,동작구청,현충로2길,4 효사정 앞(ID:20-124),버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
94,동작구청,현충로,151(ID:20-130),버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
95,동작구청,현충로,111(ID:20-127), 버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
96,동작구청,서달로,158,가로변,재활용,일반 사각 쓰레기통,2019년 설치,2024-07-29
97,동작구청,서달로,158,가로변,일반쓰레기,일반 사각 쓰레기통,2019년 설치,2024-07-29
98,동작구청,동작대로,경문고등학교(ID:22-031),중앙차로,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
99,동작구청,동작대로,경문고등학교(ID:22-031),중앙차로,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
100,동작구청,동작대로,경문고교 배나무골앞(ID:20-017),중앙차로,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
101,동작구청,동작대로,171(경문고앞),가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
102,동작구청,동작대로,정금마을(ID:22-033),중앙차로,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
103,동작구청,동작대로,정금마을 방배경찰서(ID:20-016),중앙차로,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
104,동작구청,동작대로,235 깨마을(ID:20-015),버스 중앙차로,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
105,동작구청,동작대로,235 깨마을(ID:20-015),버스 중앙차로,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
106,동작구청,동작대로,239,가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
107,동작구청,동작동,국립현충원((ID:20-133),버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2020년 설치,2024-07-29
108,동작구청,동작동,국립현충원((ID:20-134),버스 정류장 옆,재활용,일반 사각 쓰레기통,2020년 설치,2024-07-29
109,동작구청,동작동,국립현충원((ID:20-134),버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2020년 설치,2024-07-29
110,동작구청,동작대로,남성시장(ID:20-018),버스중앙차로,재활용,일반 사각 쓰레기통,2019년 설치,2024-07-29
111,동작구청,동작대로,남성시장(ID:20-018),버스중앙차로,일반쓰레기,일반 사각 쓰레기통,2019년 설치,2024-07-29
112,동작구청,동작대로,남성시장(ID:22-029),버스중앙차로,재활용,일반 사각 쓰레기통,2020년 설치,2024-07-29
113,동작구청,동작대로,남성시장(ID:22-029),버스중앙차로,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
114,동작구청,동작대로,101(다비치안경 앞),가로변,일반쓰레기,일반 사각 쓰레기통,2019년 설치,2024-07-29
115,동작구청,동작대로,101(다비치안경 앞),가로변,재활용,일반 사각 쓰레기통,2019년 설치,2024-07-29
116,동작구청,동작대로  ,121(미샤 앞),가로변,일반쓰레기,일반 사각 쓰레기통,2020년 설치,2024-07-29
117,동작구청,동작대로  ,121(미샤 앞),가로변,재활용,일반 사각 쓰레기통,2020년 설치,2024-07-29
118,동작구청,사당로,23길2(세븐일레븐 앞),가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
119,동작구청,사당로,사당시장(ID:20-180),버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
120,동작구청,사당로,219(남성역 4번출구),지하철(7호선) 앞,재활용,일반 사각 쓰레기통,2020년 설치,2024-07-29
121,동작구청,사당로,9가길 55(ID:20-177),버스 정류장 옆,재활용,일반 사각 쓰레기통,2018년 이전,2024-07-29
122,동작구청,사당로,남성역(ID:20-178),버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
